reviewId,content,score
7a514940-76b1-440d-9bf0-02d6c9df57cc,نعم,1
8a335a6f-03f9-4adb-8042-02c6e98b226d,Good,5
ff2a6271-2189-4451-95b5-5267aab686f9,Super,5
215e1d87-c8e4-4a9d-8c46-1ed55c7196e3,love it,5
3ff05717-58bf-40a1-bf28-1173e584a7f2,Bhavna,5
e3d0ada4-b58b-4b37-b328-d50ed55b3ae2,Awsm App,5
c4b75291-e136-42bf-8fa8-876e7eb8e402,Good 👍,5
dc20e34b-1d8d-420d-8b52-9907de57c2f8,This app makes me happy,5
4af0f8fa-b29f-462c-b2df-ef585bd3d32f,its Awesome,5
fb78316d-7dd0-4d7f-b614-b77ded14039b,"Loving, enjoying smart",5
ea870baf-c07d-4978-9b9f-e50f962df4d8,I love Instagram🤳📷🤳,5
2fe9b062-ac67-410a-955c-9d9cdcc9dad6,🥰,5
af477108-7b2d-4f3e-a8e2-14a35a9d784b,What a crazy,5
078dbbb2-3426-4eab-a5be-73df7e4d99d4,"Amazing app , its connect me with lots of strangers.",4
3ae45d97-6e33-40f0-ae9b-93511ab0e986,All the posts are hidden between unwanted reels. Reported a clip from a black woman saying all white people deserve to die. Didn't violate their policy. Said to Americans that hoarding creates the shortage they worry about. Got ban warning. Has insane automatic scrolling after any clip without the option to disable too,1
f84bbd5f-fbc5-424a-8906-3899f365ab52,Liger sidu A S X,5
e09ad9a9-7353-4af5-8255-e5ad04ed2123,Best,5
fbe5b69b-d011-4d13-9a03-356774420534,Nice 👍,5
d24dde70-8564-4fb7-82fa-368d576e2707,good,4
8925518b-a601-483c-841d-f3b156340363,Very good app,5
a2b4dcb1-1466-4fbe-a083-e61155f8bcc4,I like this app but there is a problem that i can't put any song on my note and i can't find the reason,5
a88709e6-bed4-4738-9bcc-3691d78cec8f,Ram kumar,5
45f85892-9243-4346-b58e-3ca907944053,I love insta like fr obsessed lol,5
c8ec3861-f76c-4c49-aa94-80c5741db079,Ismaciilaxmed,5
85cfab30-be83-433e-8922-186c03cf853a,The wokeness on this app is crazy deleted,1
66468f42-0bac-4bf3-984e-a5fe0ed90de9,تھی اس verry verry nice,3
e5ed8b4e-f4c3-4558-a830-aeb82cce8a84,Thank,4
530d99a4-1e97-4540-a4b3-a024ab06838b,My experience is good,5
16c46f09-188d-4a8e-96df-c196b03f7981,Gatiya app 😡,1
366228e9-2cf2-4837-a525-56467ffdb2ee,Good,5
658d3d60-ead3-460a-9a1b-21d285769248,dIL,5
1c19c8dc-287b-4d9f-a7eb-ac8fa7c55522,Good work,5
09ef5e0a-af7e-4588-b499-2277e06983fc,Nice experience 😉,5
ce6f1ac7-130f-449c-b8d7-ffb0e06fe648,ينيتستؤؤع,5
a45d88f5-63ee-4eed-88d3-a50b9504f771,Vedioplay me Now,1
6a08548e-72cb-43af-a4c7-f4f88e15ed2b,Good app,5
8416858a-6126-481b-ab34-ee7fa62d0f14,It is an good app and I say for this that it help me to grow and feed on social media,5
4738f08e-dec1-43b3-b63a-79c28960e313,love it can't live without it 💗💗,5
5eb70566-f09a-4be8-b33a-b553cb00d4bb,Beggar of our data,1
b06d2d6e-0bc5-45d1-84bd-585f4988e43e,Super 💯💯😊💯💯💯😊😊😊😊😊💯💯💯💯,5
12f504d1-4d5b-4a13-b657-a6978cabb84f,🍓🔔🍍👍👍🥴🥴😁😄🙂😃🍍👍🥴😁😄😄😆😆😅❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🐰❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🙁❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,5
724b4a4c-6d9c-44c7-9b51-ffddbd5659f1,bekar hai,1
add48a6d-7748-413d-bc23-36b56730110e,Excellent,5
7326aa83-fafc-4f86-a5a9-97108836d629,Massive censorship. This app is manipulative garbage.,1
3261dbd3-64ab-4ddb-a62e-231657107b81,Nice app 👍,5
f428f6bf-8566-47f9-aa36-e1697e44241f,Ravinder Singh,5
8f5908b5-06a8-4a1a-aea2-63948e5aec29,ఆర్థికౌర్ 👌,5
8692013f-3952-4dfe-b9a4-d91a5884b89b,Soooo bed,5
784604c1-8331-4ac2-9fb7-7987867c1e5c,I dont't know why i like it😚,5
3bee0178-ac92-4de7-b977-ed9bc82645e2,use full and enjoing,5
6eee7f42-5882-4e9d-bb4c-6c0094f14965,I love it,5
fabde13c-9550-47c1-ae18-205dd35b0e25,Reels are not working and reels icon not showing,5
1d1a0cd1-f791-4d4b-9643-add6396821e3,Naic,5
bc25efdf-36e6-4024-b35e-066a433612f3,Loves you too baby girl,5
af950325-1dbd-432b-bded-603464242143,This app is so helpful and friendly,5
3f41201f-9cbd-43ae-b211-6729fc9069b1,খোবি ভালো ভিডিও ইফেকটের জন্য,5
4d6802d5-04a2-47f7-8309-fa3a5ea3c139,Ok,5
677b73fe-b0f6-45dd-be15-6e03efa6527c,I love Instagram 💞💞💞💞🤩🤩🤩 😚😚😘😘😍😍🥰🥰😋😋,5
6d434b65-1752-4961-8ed1-0ada2cf69ead,Very nice app,5
fe5b8045-7e6e-4b6b-b4dc-26f4ff68ba6a,XXX THE BEST PRICE,5
634e7562-b1b3-40e5-b111-6e2deecfc954,nasiab king,5
0ee57e72-5eeb-48f9-875e-aa4c0fb31392,Hey I just got your message I will,5
bbed2ffb-aac7-4f18-9a95-49456224322f,I love it 😍,5
71731cf1-f8b5-404a-88cc-54e9d79df096,It a very good app,5
2fe59da8-a3ad-4040-8c94-6820fc337581,Ok,5
bc74db17-724b-4901-bed5-6cc9be894752,Very good tnx,5
4e51eabb-c1e1-4980-a8d2-9d2203b2fcb6,"00 5 C,",5
314bb345-f1ff-42b6-b5ff-19bf684c93d0,Videos. Song,5
fd84f416-cf4e-407e-9735-dfd8a1a3a931,Network 🛜,5
4215a732-3a8d-4da4-82ff-194e4f867922,It was a good app i enjoy this very much and I make frendly people this app is comfortable when i am sad it make me happy this app is horryble indorryble amazing thing i cant explain this app make me fresh an sweet fellings this app is the best,5
47ec7455-a3a8-4d41-9167-5114b17bde80,Super,5
3c0efa2c-5bda-4fc2-ac47-b4b6dbc091b1,Superb,1
