reviewId,content,score
6da40a6a-e26a-491c-a24e-e23511bd2eb2,👍👍good,4
727c47de-3532-4d46-a8b1-33725c89b8d0,nice,5
bb3340eb-cf69-4f91-aeba-0b15f31b5138,very good,5
839bfe24-f229-449d-9774-71cecd79492c,Best the word,5
363f86a6-f729-4d28-a477-f92451660a38,nice,5
2327d793-2ae8-40c8-b0bc-e265e63d5967,fantastic,5
e282e596-44fa-4102-8fb9-f3cfb8befbeb,I have used word for years. In the beginning it was a great app abd I was able to use a limited version for no cost. Not so anymore. A pity really. I use something else now.,3
c852afd1-7e67-4d6e-941a-6191bb3da2fc,"This is really nice app, I use it for typing, editing and making my assignment and also I will like you guys to work on something in this app. it's include cover page design's and lot more that I can explain but I really love this app, that's why am giving you four (4) star 🌟",4
1611821c-d68e-4c10-96af-3bf2e532acc2,Best app,5
0422e30e-72f9-4f0d-acf0-fef52d5e7a0b,satisfying,4
d568b32f-c5bf-484f-9d11-da5d105a2a90,good work,5
410f20c4-3b64-4fbe-951c-f6994ff843a3,"I have used Word for over 40 years, and I really appreciate the ease of using it.",5
cc129bbc-59f0-452a-ba41-73971fd64085,word is best app for pdf and resume,5
af1244ff-4695-486f-8366-cc258986c820,not working,1
681b8f6e-9807-410b-b77a-e494daba6d31,most used app 4 me,5
ba68a9ff-1fee-4180-baa1-99967ad79564,"it has some limitations,still it's good",3
329fccd2-cb1d-471c-9777-da717a7cb20c,works pretty well but would like all features that appear on the PC to appear also on mobile.,4
e21b6a6a-3d8d-4184-886e-4104adb030b8,good app,5
14a22fca-0776-4fff-bbdc-6ee6c6ea4847,best app,5
459f642e-b68d-43f1-9f51-958132017d7a,Awesome 😎,5
82f141f6-633a-4101-82c8-c027f4599cf0,it's feel like lag and struck,2
ede87950-e12b-4ea3-902b-b891babf7b5e,Good,4
453f126b-b4e6-472b-887c-d48ca0750bf0,Effectively and fast service.,5
2aa51b74-aa2c-44b7-bf2a-cb713f723435,it was open in Word because i don't have the choice to open it as ppt,5
d215a4a5-b30d-4519-af81-b1e92d804618,best,3
cfac59c1-ca74-4e1f-aee7-406584b53d64,nice ever,5
7a90b8ef-edf6-494a-8280-48c0f155b4a8,"great app, best for pdf reader and for editing",5
7825396a-01d9-4744-bfb3-4362684744c8,"been using it for a couple of years, app will sometimes sign out, delete it and reinstall it and boom works again.",5
b5da7962-e2a8-4033-a660-7de8bfc3601e,good,5
